sno,name,handedness,height,weight,average,HR,ratio,bodytype
1,Tom Brown,R,73,170,0,0,0.429411765,
2,Denny Lemaster,R,73,182,0.13,4,0.401098901,
3,Joe Nolan,L,71,175,0.263,27,0.405714286,
4,Denny Doyle,L,69,175,0.25,16,0.394285714,
5,Jose Cardenal,R,70,150,0.275,138,0.466666667,
6,Mike Ryan,R,74,205,0.193,28,0.36097561,
7,Fritz Peterson,B,72,185,0.159,2,0.389189189,
8,Dick Bertell,R,72,200,0.25,10,0.36,
9,Rod Kanehl,R,73,180,0.241,6,0.405555556,
10,Ozzie Osborn,R,74,195,0,0,0.379487179,
11,John LaRose,L,73,185,0,0,0.394594595,
12,Jeff Byrd,R,75,195,0,0,0.384615385,
13,Juan Bonilla,R,69,170,0.256,7,0.405882353,
14,Frank Tepedino,L,71,185,0.241,6,0.383783784,
15,Jerry Kutzler,L,73,175,0,0,0.417142857,
16,Rick Wise,R,73,180,0.195,15,0.405555556,
17,Darrell Evans,L,74,200,0.248,414,0.37,
18,Buck Martinez,R,70,190,0.225,58,0.368421053,
19,John Wockenfuss,R,72,190,0.262,86,0.378947368,
20,Tommy McCraw,L,72,183,0.246,75,0.393442623,
21,Jeff Barkley,B,75,185,0,0,0.405405405,
22,Eric Wilkins,R,73,190,0,0,0.384210526,
23,Britt Burns,L,77,215,0,0,0.358139535,
24,Lee Lacy,R,73,175,0.286,91,0.417142857,
25,Pete Rose,B,71,192,0.303,160,0.369791667,
26,Danny Walton,R,72,195,0.223,28,0.369230769,
27,Bobby Cox,R,71,180,0.225,9,0.394444444,
28,Brad Wellman,R,72,170,0.231,6,0.423529412,
29,Jeff Newman,R,74,215,0.224,63,0.344186047,
30,Pedro Gonzalez,R,72,176,0.244,8,0.409090909,
31,Nardi Contreras,B,74,193,0,0,0.383419689,
32,Tommie Reynolds,R,74,190,0.226,12,0.389473684,
33,Gene Clines,R,69,170,0.277,5,0.405882353,
34,Jim Hickman,R,75,192,0.252,159,0.390625,
35,Jack Billingham,R,76,195,0.111,0,0.38974359,
36,Jerry Buchek,R,71,185,0.22,22,0.383783784,
37,Ivan DeJesus,R,71,175,0.254,21,0.405714286,
38,Gary Nolan,R,74,197,0.138,1,0.375634518,
39,Gil Patterson,R,73,185,0,0,0.394594595,
40,Fred Whitfield,L,73,190,0.253,108,0.384210526,
41,Larry Dierker,R,76,215,0.136,4,0.353488372,
42,Dave Skaggs,R,74,200,0.241,3,0.37,
43,Dick Ruthven,R,75,190,0.183,1,0.394736842,
44,Jerry Garvin,L,75,195,0,0,0.384615385,
45,Steve Eddy,R,74,185,0,0,0.4,
46,Dave Kingman,R,78,210,0.236,442,0.371428571,
47,Eric Soderholm,R,71,187,0.264,102,0.379679144,
48,Kevin Mmahat,L,77,220,0,0,0.35,
49,Ed Brinkman,R,72,170,0.224,60,0.423529412,
50,Wayne Garrett,L,71,175,0.239,61,0.405714286,
51,Tony Muser,L,74,180,0.259,7,0.411111111,
52,Jim Siwy,R,76,200,0,0,0.38,
53,Bud Anderson,R,75,210,0,0,0.357142857,
54,Ted Ford,R,70,180,0.219,17,0.388888889,
55,Kevin Stanfield,L,72,190,0,0,0.378947368,
56,Jim Lyttle,L,72,180,0.248,9,0.4,
57,John Butcher,R,76,185,0,0,0.410810811,
58,Jerry Ujdur,R,73,195,0,0,0.374358974,
59,Scot Thompson,L,75,195,0.262,5,0.384615385,
60,Gene Locklear,L,70,165,0.274,9,0.424242424,
61,Bo Diaz,R,71,185,0.255,87,0.383783784,
62,Bump Wills,B,69,172,0.266,36,0.401162791,
63,Brian Denman,R,76,205,0,0,0.370731707,
64,Pat Putnam,L,72,205,0.255,63,0.351219512,
65,Kurt Bevacqua,R,72,180,0.236,27,0.4,
66,Bob Fallon,L,75,200,0,0,0.375,
67,Syd O'Brien,R,73,185,0.23,24,0.394594595,
68,Chris Chambliss,L,73,195,0.279,185,0.374358974,
69,Tom Satriano,L,73,185,0.225,21,0.394594595,
70,Jeffrey Leonard,R,74,200,0.266,144,0.37,
71,Dal Maxvill,R,71,157,0.217,6,0.452229299,
72,Steve Curry,R,78,217,0,0,0.359447005,
73,Cesar Tovar,R,69,155,0.278,46,0.44516129,
74,Mickey Lolich,B,73,170,0.11,0,0.429411765,
75,Ray Chadwick,B,74,180,0,0,0.411111111,
76,Jack Heidemann,R,72,175,0.211,9,0.411428571,
77,Rich Rollins,R,70,185,0.269,77,0.378378378,
78,Walt Bond,L,79,228,0.256,41,0.346491228,
79,Merv Rettenmund,R,70,190,0.271,66,0.368421053,
80,Bryan Clutterbuck,R,76,223,0,0,0.340807175,
81,Byron Browne,R,74,190,0.236,30,0.389473684,
82,Hector Torres,R,72,175,0.216,18,0.411428571,
83,Walt Williams,R,66,165,0.27,33,0.4,
84,Jerry Koosman,R,74,205,0.119,2,0.36097561,
85,Steve Lombardozzi,R,72,175,0.233,20,0.411428571,
86,Joe Azcue,R,72,190,0.252,50,0.378947368,
87,Elliott Maddox,R,71,180,0.261,18,0.394444444,
88,Omar Moreno,L,74,180,0.252,37,0.411111111,
89,Julian Javier,R,73,175,0.257,78,0.417142857,
90,Tony Ferreira,L,73,160,0,0,0.45625,
91,Elio Chacon,R,69,160,0.232,4,0.43125,
92,Rusty Torres,B,70,175,0.212,35,0.4,
93,John Stearns,R,72,185,0.26,46,0.389189189,
94,Larry Brown,R,70,160,0.233,47,0.4375,
95,Tommy Dean,R,72,165,0.18,4,0.436363636,
96,Bryan Oelkers,L,75,192,0,0,0.390625,
97,Kevin Bearse,L,74,195,0,0,0.379487179,
98,Marty Martinez,B,72,170,0.243,0,0.423529412,
99,Bruce Boisclair,L,74,185,0.263,10,0.4,
100,Ken Singleton,B,76,210,0.282,246,0.361904762,
101,Frank White,R,71,165,0.255,160,0.43030303,
102,Jim Fairey,L,70,190,0.235,7,0.368421053,
103,Jose Roman,R,72,175,0,0,0.411428571,
104,Tom Brookens,R,70,165,0.246,71,0.424242424,
105,Gary Thomasson,L,73,180,0.249,61,0.405555556,
106,Mike Trujillo,R,73,180,0,0,0.405555556,
107,Albert Williams,R,76,190,0,0,0.4,
108,Oswaldo Peraza,R,76,172,0,0,0.441860465,
109,Otto Velez,R,72,170,0.251,78,0.423529412,
110,Tony Scott,B,72,164,0.249,17,0.43902439,
111,Ray Oyler,R,71,165,0.175,15,0.43030303,
112,Barry Cort,R,77,210,0,0,0.366666667,
113,Floyd Robinson,L,69,175,0.283,67,0.394285714,
114,Steve Jeltz,B,71,180,0.21,5,0.394444444,
115,Lou Brock,L,71,170,0.293,149,0.417647059,
116,Bill Wilkinson,R,70,160,0,0,0.4375,
117,Joe Lovitto,B,72,185,0.216,4,0.389189189,
118,Mike Loynd,R,76,210,0,0,0.361904762,
119,Wayne Comer,R,70,175,0.229,16,0.4,
120,Dave Collins,B,71,175,0.272,32,0.405714286,
121,Ed Spiezio,R,71,180,0.238,39,0.394444444,
122,Rico Petrocelli,R,72,175,0.251,210,0.411428571,
123,Johnny Lewis,L,73,189,0.227,22,0.386243386,
124,Dick Simpson,R,76,176,0.207,15,0.431818182,
125,Ken Boswell,L,72,170,0.248,31,0.423529412,
126,Ken McMullen,R,75,190,0.248,156,0.394736842,
127,Randy Scarbery,B,73,185,0,0,0.394594595,
128,Steve Swisher,R,74,205,0.216,20,0.36097561,
129,Ben Callahan,R,79,230,0,0,0.343478261,
130,Dick Howser,R,68,155,0.248,16,0.438709677,
131,Manny Castillo,B,69,160,0.242,3,0.43125,
132,Mike Ramsey,B,73,170,0.24,2,0.429411765,
133,Willie Crawford,L,73,197,0.268,86,0.370558376,
134,Bobby Cuellar,R,71,188,0,0,0.377659574,
135,Willie Norwood,R,72,185,0.242,18,0.389189189,
136,Mike Jones,L,78,215,0,0,0.362790698,
137,Jeff Stone,L,72,175,0.277,11,0.411428571,
138,Ramon Manon,R,72,150,0,0,0.48,
139,Joe Lahoud,L,73,198,0.223,65,0.368686869,
140,Tim Flannery,L,71,175,0.255,9,0.405714286,
141,Dave McKay,B,73,195,0.229,21,0.374358974,
142,John Trautwein,R,75,205,0,0,0.365853659,
143,Andy Replogle,R,77,205,0,0,0.375609756,
144,Zach Crouch,L,75,180,0,0,0.416666667,
145,Benny Ayala,R,73,185,0.251,38,0.394594595,
146,Ron Romanick,R,76,195,0,0,0.38974359,
147,Greg Gross,L,70,160,0.287,7,0.4375,
148,Bruce Tanner,L,75,220,0,0,0.340909091,
149,Sal Butera,R,72,190,0.227,8,0.378947368,
150,Jack Brohamer,L,70,165,0.245,30,0.424242424,
151,Von Joshua,L,70,170,0.273,30,0.411764706,
152,Eddie Milner,L,71,173,0.253,42,0.410404624,
153,Johnny Jeter,R,73,180,0.244,18,0.405555556,
154,Angel Salazar,R,72,180,0.212,2,0.4,
155,Tony Oliva,L,73,175,0.304,220,0.417142857,
156,Cito Gaston,R,75,190,0.256,91,0.394736842,
157,Cookie Rojas,R,70,160,0.263,54,0.4375,
158,Rich Morales,R,71,170,0.195,6,0.417647059,
159,Dave Ford,R,76,190,0,0,0.4,
160,Dan Ford,R,73,185,0.27,121,0.394594595,
161,Barry Raziano,B,70,175,0,0,0.4,
162,Darryl Motley,R,69,196,0.243,44,0.352040816,
163,Ozzie Virgil,R,73,180,0.243,98,0.405555556,
164,Johnny Oates,L,71,188,0.25,14,0.377659574,
165,Pat Underwood,L,72,175,0,0,0.411428571,
166,Mike Phillips,L,72,170,0.24,11,0.423529412,
167,Ron Santo,R,72,190,0.277,342,0.378947368,
168,Jay Johnstone,L,73,175,0.267,102,0.417142857,
169,Jim Ray Hart,R,71,185,0.278,170,0.383783784,
170,Marc Hill,R,75,205,0.223,34,0.365853659,
171,Joel McKeon,L,72,185,0,0,0.389189189,
172,Danny Fife,R,75,175,0,0,0.428571429,
173,Chico Salmon,R,70,160,0.249,31,0.4375,
174,Joe Niekro,R,73,185,0.156,1,0.394594595,
175,Andy Etchebarren,R,73,190,0.235,49,0.384210526,
176,Ken Berry,R,72,175,0.255,58,0.411428571,
177,Dave Concepcion,R,74,155,0.267,101,0.477419355,
178,Junior Moore,R,71,185,0.264,7,0.383783784,
179,Mike Richardt,R,72,170,0.226,4,0.423529412,
180,Chris Brown,R,72,185,0.269,38,0.389189189,
181,Al Bumbry,L,68,170,0.281,54,0.4,
182,Al Downing,R,71,175,0.127,2,0.405714286,
183,Bob Didier,B,72,190,0.229,0,0.378947368,
184,Jake Gibbs,L,72,180,0.233,25,0.4,
185,Garry Hancock,L,72,175,0.247,12,0.411428571,
186,Ed Kranepool,L,75,205,0.261,118,0.365853659,
187,Rick Rhoden,R,75,195,0.238,9,0.384615385,
188,Denny McLain,R,73,185,0.133,1,0.394594595,
189,Chuck Hiller,L,71,170,0.243,20,0.417647059,
190,Jorge Orta,L,70,170,0.278,130,0.411764706,
191,Dave Cash,R,71,170,0.283,21,0.417647059,
192,Bucky Dent,R,69,170,0.247,40,0.405882353,
193,Andy Beene,R,75,205,0,0,0.365853659,
194,Bruce Robbins,L,73,190,0,0,0.384210526,
195,Tony Gonzalez,L,69,170,0.286,103,0.405882353,
196,Leon Hooten,R,71,180,0,0,0.394444444,
197,Larry Haney,R,74,195,0.215,12,0.379487179,
198,Billy Conigliaro,R,72,180,0.256,40,0.4,
199,Gary Roenicke,R,75,205,0.247,121,0.365853659,
200,Don Lock,R,74,195,0.238,122,0.379487179,
201,Billy Cowan,R,72,170,0.236,40,0.423529412,
202,Billy Smith,B,74,185,0.23,17,0.4,
203,Allan Ramirez,R,70,180,0,0,0.388888889,
204,Tony Perez,R,74,175,0.279,379,0.422857143,
205,Chuck Schilling,R,70,160,0.239,23,0.4375,
206,Hal McRae,R,71,180,0.29,191,0.394444444,
207,Dave Roberts,R,75,215,0.239,49,0.348837209,
208,Brian Allard,R,73,175,0,0,0.417142857,
209,Jim Lefebvre,B,72,180,0.251,74,0.4,
210,Fernando Arroyo,R,74,180,0,0,0.411111111,
211,Gary Beare,R,76,205,0,0,0.370731707,
212,Charlie Spikes,R,75,215,0.246,65,0.348837209,
213,Brian Dubois,L,70,165,0,0,0.424242424,
214,Steve Whitaker,L,72,180,0.23,24,0.4,
215,Manny Jimenez,L,73,185,0.272,26,0.394594595,
216,Chris Batton,R,76,195,0,0,0.38974359,
217,Duffy Dyer,R,72,187,0.221,30,0.385026738,
218,Ken Henderson,B,74,180,0.257,122,0.411111111,
219,Vance Lovelace,L,77,205,0,0,0.375609756,
220,Greg Thayer,R,71,182,0,0,0.39010989,
221,Vern Fuller,R,73,170,0.232,14,0.429411765,
222,Paul Hartzell,R,77,200,0,0,0.385,
223,Wayne Gross,L,74,210,0.233,121,0.352380952,
224,Mike Champion,R,72,185,0.229,2,0.389189189,
225,Ralph Botting,L,72,195,0,0,0.369230769,
226,Paul Casanova,R,76,180,0.225,50,0.422222222,
227,Steve Rogers,R,74,175,0.138,0,0.422857143,
228,Keith Creel,R,74,180,0,0,0.411111111,
229,Terry Crowley,L,72,180,0.25,42,0.4,
230,Horace Clarke,B,69,170,0.256,27,0.405882353,
231,Lou Clinton,R,73,185,0.247,65,0.394594595,
232,Larry Cox,R,70,178,0.221,12,0.393258427,
233,Nate Colbert,R,74,190,0.243,173,0.389473684,
234,Phil Roof,R,74,190,0.215,43,0.389473684,
235,Chuck Hinton,R,73,180,0.264,113,0.405555556,
236,Tim Cullen,R,73,185,0.22,9,0.394594595,
237,Tim Harkness,L,74,182,0.235,14,0.406593407,
238,Rick Bosetti,R,71,185,0.25,17,0.383783784,
239,Ron Pruitt,R,72,185,0.269,12,0.389189189,
240,George Foster,R,73,180,0.274,348,0.405555556,
241,Jerry White,B,70,164,0.253,21,0.426829268,
242,Angel Mangual,R,70,178,0.245,22,0.393258427,
243,Ken Gerhart,R,72,190,0.221,24,0.378947368,
244,Mike Hershberger,R,70,175,0.252,26,0.4,
245,Jim French,L,68,180,0.196,5,0.377777778,
246,Dave Roberts,L,75,195,0.194,7,0.384615385,
247,Jim Mason,L,74,185,0.203,12,0.4,
248,Mike Smith,R,75,180,0,0,0.416666667,
249,Willie Smith,L,72,182,0.248,46,0.395604396,
250,T.R. Bryden,R,76,190,0,0,0.4,
251,Jose Arcia,R,75,170,0.215,1,0.441176471,
252,Leon Durham,L,73,185,0.277,147,0.394594595,
253,Tom Makowski,R,71,185,0,0,0.383783784,
254,Paul Householder,B,72,180,0.236,29,0.4,
255,Aurelio Rodriguez,R,70,180,0.237,124,0.388888889,
256,Jimmy Stewart,B,72,165,0.237,8,0.436363636,
257,Dick Phillips,L,72,180,0.229,12,0.4,
258,Andres Thomas,R,73,170,0.234,42,0.429411765,
259,Ed Crosby,L,74,175,0.22,0,0.422857143,
260,Mike de la Hoz,R,71,175,0.251,25,0.405714286,
261,Frank Taveras,R,72,155,0.255,2,0.464516129,
262,Joe Nossek,R,72,178,0.228,3,0.404494382,
263,Larry Stahl,L,72,175,0.232,36,0.411428571,
264,Jose Cruz,L,72,170,0.284,165,0.423529412,
265,Don Mason,L,71,160,0.205,3,0.44375,
266,Bill Robinson,R,74,189,0.258,166,0.391534392,
267,Jim Umbarger,L,78,200,0,0,0.39,
268,Sal Bando,R,72,195,0.254,242,0.369230769,
269,George Mitterwald,R,74,195,0.236,76,0.379487179,
270,Mike Darr,R,76,190,0,0,0.4,
271,Craig Robinson,R,70,165,0.219,0,0.424242424,
272,Bob Tillman,R,76,205,0.232,79,0.370731707,
273,Curt Wardle,L,77,220,0,0,0.35,
274,Pat Corrales,R,72,180,0.216,4,0.4,
275,Mike Tyson,R,69,170,0.241,27,0.405882353,
276,Rafael Landestoy,B,70,165,0.237,4,0.424242424,
277,Duane Josephson,R,72,190,0.258,23,0.378947368,
278,Duane Walker,L,72,185,0.229,24,0.389189189,
279,Glenn Hubbard,R,69,150,0.244,70,0.46,
280,Roger Freed,R,72,190,0.245,22,0.378947368,
281,George Hendrick,R,75,195,0.278,267,0.384615385,
282,Rod Carew,L,72,170,0.328,92,0.423529412,
283,Bob Davis,R,72,180,0.197,6,0.4,
284,Toby Harrah,R,72,175,0.264,195,0.411428571,
285,Rick Manning,L,73,180,0.257,56,0.405555556,
286,Israel Sanchez,L,69,170,0,0,0.405882353,
287,Steve Burke,B,74,200,0,0,0.37,
288,Gary Matthews,R,74,185,0.281,234,0.4,
289,Cesar Geronimo,L,72,165,0.258,51,0.436363636,
290,Billy Bryan,L,76,200,0.216,41,0.38,
291,Terry Taylor,R,73,180,0,0,0.405555556,
292,Terry Whitfield,L,73,197,0.281,33,0.370558376,
293,Mario Mendoza,R,71,170,0.215,4,0.417647059,
294,Fred Lynn,L,73,185,0.283,306,0.394594595,
295,Larry Hisle,R,74,193,0.273,166,0.383419689,
296,Graig Nettles,L,72,180,0.248,390,0.4,
297,Randy Nosek,R,76,215,0,0,0.353488372,
298,Dave Engle,R,75,210,0.262,31,0.357142857,
299,Narciso Elvira,L,70,160,0,0,0.4375,
300,Mike Easler,L,72,190,0.293,118,0.378947368,
301,Mark Smith,R,74,215,0,0,0.344186047,
302,Paul Mitchell,R,73,195,0,0,0.374358974,
303,Rick Sweet,B,73,200,0.234,6,0.365,
304,Thurman Munson,R,71,190,0.292,113,0.373684211,
305,Rick Monday,L,75,193,0.264,241,0.388601036,
306,Mike Sadek,R,69,165,0.226,5,0.418181818,
307,Mark Belanger,R,73,170,0.228,20,0.429411765,
308,Ron Hunt,R,72,186,0.273,39,0.387096774,
309,Joe Keough,L,72,185,0.246,9,0.389189189,
310,Butch Edge,R,75,203,0,0,0.369458128,
311,Vic Correll,R,70,185,0.229,29,0.378378378,
312,Jackie Hernandez,R,71,165,0.208,12,0.43030303,
313,Tony Solaita,L,72,210,0.255,50,0.342857143,
314,U L Washington,B,71,175,0.251,27,0.405714286,
315,Gary Mielke,R,75,185,0,0,0.405405405,
316,Rick Henninger,R,78,225,0,0,0.346666667,
317,Joe Foy,R,72,215,0.248,58,0.334883721,
318,Ed Goodson,L,75,180,0.26,30,0.416666667,
319,Mark Brown,B,74,190,0,0,0.389473684,
320,Mickey Klutts,R,71,170,0.241,14,0.417647059,
321,Leroy Stanton,R,73,195,0.244,77,0.374358974,
322,Rafael Vasquez,R,72,160,0,0,0.45,
323,Len Whitehouse,L,71,175,0,0,0.405714286,
324,Danny Ainge,R,76,175,0.22,2,0.434285714,
325,Adolfo Phillips,R,73,175,0.247,59,0.417142857,
326,Marv Breeding,R,72,175,0.25,7,0.411428571,
327,Steve Adkins,R,78,210,0,0,0.371428571,
328,Dick McAuliffe,L,71,176,0.247,197,0.403409091,
329,Joe Horlen,R,72,170,0.134,0,0.423529412,
330,Glenn Burke,R,72,195,0.237,2,0.369230769,
331,Tony Mack,R,70,177,0,0,0.395480226,
332,Terry Humphrey,R,75,185,0.211,6,0.405405405,
333,Bill Moran,R,76,210,0,0,0.361904762,
334,Enzo Hernandez,R,68,155,0.224,2,0.438709677,
335,Cesar Gutierrez,R,69,155,0.235,0,0.44516129,
336,Coco Laboy,R,70,165,0.233,28,0.424242424,
337,Ted Kubiak,B,72,175,0.231,13,0.411428571,
338,Jim Morrison,R,71,175,0.26,112,0.405714286,
339,Tom Gilles,R,73,185,0,0,0.394594595,
340,Bobby Knoop,R,73,170,0.236,56,0.429411765,
341,Bobby Brown,B,74,190,0.245,26,0.389473684,
342,Tom Hutton,L,71,180,0.248,22,0.394444444,
343,Ron Hodges,L,73,185,0.24,19,0.394594595,
344,Rich Chiles,L,71,170,0.254,6,0.417647059,
345,Tom Paciorek,R,76,215,0.282,86,0.353488372,
346,Gary Woods,R,74,185,0.243,13,0.4,
347,Bob Montgomery,R,73,195,0.258,23,0.374358974,
348,Jeff Burroughs,R,73,200,0.261,240,0.365,
349,Rusty Staub,L,74,190,0.279,292,0.389473684,
350,Jim Norris,L,70,175,0.264,7,0.4,
351,Oscar Gamble,L,71,160,0.265,200,0.44375,
352,Bob Kammeyer,R,76,210,0,0,0.361904762,
353,George Vukovich,L,72,198,0.268,27,0.363636364,
354,Joe Pactwa,L,71,185,0,0,0.383783784,
355,Craig Reynolds,L,73,175,0.256,42,0.417142857,
356,Paul Blair,R,72,168,0.25,134,0.428571429,
357,Al Cowens,R,73,197,0.27,108,0.370558376,
358,Al Oliver,L,72,195,0.303,219,0.369230769,
359,Dave Hilton,R,71,191,0.213,6,0.371727749,
360,Luis Alvarado,R,69,162,0.214,5,0.425925926,
361,Larry Parrish,R,75,190,0.263,256,0.394736842,
362,Woodie Fryman,R,75,197,0.138,2,0.38071066,
363,Bob Randall,R,74,175,0.257,1,0.422857143,
364,Jim Pankovits,R,70,170,0.25,9,0.411764706,
365,Sherman Corbett,L,76,205,0,0,0.370731707,
366,Carmen Fanzone,R,72,200,0.224,20,0.36,
367,Gary Allenson,R,71,185,0.221,19,0.383783784,
368,Milt May,L,72,190,0.263,77,0.378947368,
369,Mike Vail,R,73,180,0.279,34,0.405555556,
370,Nick Esasky,R,75,200,0.25,122,0.375,
371,Jim Nettles,L,72,186,0.22,16,0.387096774,
372,Lafayette Currence,B,71,175,0,0,0.405714286,
373,Chris Cannizzaro,R,72,190,0.235,18,0.378947368,
374,Larry Biittner,L,74,205,0.273,29,0.36097561,
375,John Pawlowski,R,74,175,0,0,0.422857143,
376,Mel Stottlemyre,R,73,178,0.16,7,0.41011236,
377,Jack Hardy,R,74,175,0,0,0.422857143,
378,Ron Musselman,R,74,185,0,0,0.4,
379,Roy Smalley,B,73,185,0.257,163,0.394594595,
380,Tony Chevez,R,71,177,0,0,0.401129944,
381,Andy Messersmith,R,73,200,0.17,5,0.365,
382,Richie Zisk,R,73,200,0.287,207,0.365,
383,Dave Chalk,R,70,175,0.252,15,0.4,
384,Don Baylor,R,73,190,0.26,338,0.384210526,
385,John Vukovich,R,73,187,0.161,6,0.390374332,
386,Danny Thompson,R,72,183,0.248,15,0.393442623,
