sno,name,handedness,height,weight,average,HR,ratio,bodytype
387,Joe Simpson,L,75,175,0.242,9,0.428571429,
388,Bill Fahey,L,72,200,0.241,7,0.36,
389,Doug Camilli,R,71,195,0.199,18,0.364102564,
390,Bernie Allen,L,72,175,0.239,73,0.411428571,
391,Bruce Bochy,R,75,205,0.239,26,0.365853659,
392,Gary Ignasiak,R,71,185,0,0,0.383783784,
393,Claudell Washington,L,72,190,0.278,164,0.378947368,
394,John Donaldson,L,71,160,0.238,4,0.44375,
395,Mike Smithson,L,80,215,0,0,0.372093023,
396,John Mayberry,L,75,215,0.253,255,0.348837209,
397,Ken Reitz,R,72,180,0.26,68,0.4,
398,Amos Otis,R,71,165,0.277,193,0.43030303,
399,Gene Alley,R,70,160,0.254,55,0.4375,
400,Ted Sizemore,R,70,165,0.262,23,0.424242424,
401,Dan Briggs,L,72,180,0.195,12,0.4,
402,Joe Skalski,R,75,190,0,0,0.394736842,
403,Doug Flynn,R,71,165,0.238,7,0.43030303,
404,Bert Bradley,B,73,190,0,0,0.384210526,
405,Ken Holtzman,R,74,175,0.163,2,0.422857143,
406,Pete Ward,L,73,185,0.254,98,0.394594595,
407,Kevin Bell,R,72,195,0.222,13,0.369230769,
408,Tom Nieto,R,73,193,0.205,5,0.378238342,
409,Duke Sims,L,74,197,0.239,100,0.375634518,
410,Larvell Blanks,R,68,167,0.253,20,0.407185629,
411,Francisco Barrios,R,71,155,0,0,0.458064516,
412,Mike Davis,L,74,175,0.259,91,0.422857143,
413,Jerry Reuss,L,77,200,0.167,1,0.385,
414,Steve Yeager,R,72,190,0.228,102,0.378947368,
415,Danny Goodwin,L,73,195,0.236,13,0.374358974,
416,Bud Harrelson,B,71,160,0.236,7,0.44375,
417,Bob Knepper,L,75,195,0.137,6,0.384615385,
418,Mickey Rivers,L,70,165,0.295,61,0.424242424,
419,Jim Northrup,L,75,190,0.267,153,0.394736842,
420,John Hale,L,74,195,0.201,14,0.379487179,
421,Reggie Ritter,L,74,195,0,0,0.379487179,
422,Pedro Garcia,R,70,175,0.22,37,0.4,
423,Carl Yastrzemski,L,71,175,0.285,452,0.405714286,
424,Bob Babcock,R,77,210,0,0,0.366666667,
425,Craig Eaton,R,71,175,0,0,0.405714286,
426,Derrel Thomas,B,72,160,0.249,43,0.45,
427,Art Howe,R,74,190,0.26,43,0.389473684,
428,Ike Brown,R,72,190,0.256,20,0.378947368,
429,Howie Goss,R,76,204,0.216,11,0.37254902,
430,Glenn Borgmann,R,76,210,0.229,16,0.361904762,
431,Lamar Johnson,R,74,215,0.287,64,0.344186047,
432,Julio Gonzalez,R,71,162,0.235,4,0.438271605,
433,Bobby Klaus,R,70,170,0.208,6,0.411764706,
434,Manny Sanguillen,R,72,193,0.296,65,0.373056995,
435,Gates Brown,L,71,220,0.257,84,0.322727273,
436,Johnny Ray,B,71,170,0.29,53,0.417647059,
437,Jesus Alou,R,74,190,0.28,32,0.389473684,
438,Ken Landreaux,L,70,165,0.268,91,0.424242424,
439,Enos Cabell,R,76,170,0.277,60,0.447058824,
440,Roy Branch,R,72,175,0,0,0.411428571,
441,Billy North,B,71,185,0.261,20,0.383783784,
442,Juan Beniquez,R,71,150,0.274,79,0.473333333,
443,Frank Fernandez,R,72,185,0.199,39,0.389189189,
444,Bombo Rivera,R,70,187,0.265,10,0.374331551,
445,Steve Brye,R,72,190,0.258,30,0.378947368,
446,Ron Jackson,R,72,200,0.259,56,0.36,
447,Roger Metzger,B,72,165,0.231,5,0.436363636,
448,Rufino Linares,R,72,170,0.27,11,0.423529412,
449,Ray Webster,L,72,185,0.244,17,0.389189189,
450,Bob Kearney,R,72,190,0.233,27,0.378947368,
451,Fergie Jenkins,R,77,205,0.165,13,0.375609756,
452,Dick Dietz,R,73,195,0.261,66,0.374358974,
453,Ted Cox,R,75,195,0.245,10,0.384615385,
454,Bobby Mitchell,L,70,170,0.243,3,0.411764706,
455,Bobby Mitchell,R,75,185,0.235,21,0.405405405,
456,Barry Evans,R,73,180,0.251,2,0.405555556,
457,Mickey Brantley,R,70,180,0.259,32,0.388888889,
458,Al Gallagher,R,72,180,0.263,11,0.4,
459,Rob Woodward,R,75,185,0,0,0.405405405,
460,Hector Cruz,R,71,170,0.225,39,0.417647059,
461,Fred Norman,B,68,155,0.125,0,0.438709677,
462,Woody Woodward,R,74,180,0.236,1,0.411111111,
463,Ted Martinez,R,72,165,0.24,7,0.436363636,
464,Jim Anderson,R,72,170,0.218,13,0.423529412,
465,Lenn Sakata,R,69,160,0.23,25,0.43125,
466,Dave Duncan,R,74,190,0.214,109,0.389473684,
467,Randy Jones,R,72,178,0.132,0,0.404494382,
468,Dick Billings,R,73,195,0.227,16,0.374358974,
469,Bob Veselic,R,72,175,0,0,0.411428571,
470,Bruce Bochte,L,75,195,0.282,100,0.384615385,
471,Bernie Carbo,L,71,173,0.264,96,0.410404624,
472,Vic Davalillo,L,67,150,0.279,36,0.446666667,
473,Burt Hooton,R,73,210,0.123,4,0.347619048,
474,Chuck Hockenbery,B,73,195,0,0,0.374358974,
475,Bob Ferris,R,78,225,0,0,0.346666667,
476,Fernando Gonzalez,R,70,165,0.235,17,0.424242424,
477,Jim Sundberg,R,72,190,0.248,95,0.378947368,
478,Andy Kosco,R,75,205,0.236,73,0.365853659,
479,Steve Huntz,B,73,204,0.206,16,0.357843137,
480,Gary Wheelock,R,75,205,0,0,0.365853659,
481,Lenny Faedo,R,72,170,0.251,5,0.423529412,
482,John Lowenstein,L,72,175,0.253,116,0.411428571,
483,Don Kessinger,B,73,170,0.252,14,0.429411765,
484,Joe Hague,L,72,195,0.239,40,0.369230769,
485,Bake McBride,L,74,190,0.299,63,0.389473684,
486,Dick Davis,R,75,190,0.265,27,0.394736842,
487,Richie Scheinblum,B,73,180,0.263,13,0.405555556,
488,Ed Herrmann,L,73,195,0.24,80,0.374358974,
489,Mike Rochford,L,76,205,0,0,0.370731707,
490,Jeff Schneider,B,75,195,0,0,0.384615385,
491,Bob Molinaro,L,72,190,0.264,14,0.378947368,
492,Mike Hegan,L,73,188,0.242,53,0.388297872,
493,Mike Diaz,R,74,195,0.247,31,0.379487179,
494,Tim Foli,R,72,179,0.251,25,0.402234637,
495,Alan Knicely,R,72,190,0.213,12,0.378947368,
496,Tim Laudner,R,75,212,0.225,77,0.353773585,
497,Jose Morales,R,71,187,0.287,26,0.379679144,
498,Luis Encarnacion,R,70,178,0,0,0.393258427,
499,Rick Kreuger,R,74,185,0,0,0.4,
500,Juan Marichal,R,72,185,0.165,4,0.389189189,
501,Vida Blue,B,72,189,0.104,4,0.380952381,
502,Angel Moreno,L,69,165,0,0,0.418181818,
503,Roger Weaver,R,75,190,0,0,0.394736842,
504,Stan Papi,R,72,170,0.218,7,0.423529412,
505,Rob Wilfong,L,73,180,0.248,39,0.405555556,
506,Chris Knapp,R,77,195,0,0,0.394871795,
507,Steve Henderson,R,74,190,0.28,68,0.389473684,
508,Rob Picciolo,R,74,185,0.234,17,0.4,
509,Don Welchel,R,76,205,0,0,0.370731707,
510,Randy Wiles,L,73,185,0,0,0.394594595,
511,Roberto Pena,R,68,170,0.245,13,0.4,
512,Bob Dernier,R,72,160,0.255,23,0.45,
513,Bill Melton,R,74,200,0.253,160,0.37,
514,Albert Hall,B,71,155,0.251,5,0.458064516,
515,Barbaro Garbey,R,70,170,0.267,11,0.411764706,
516,John Milner,L,72,185,0.249,131,0.389189189,
517,Rich Reese,L,75,185,0.253,52,0.405405405,
518,Chris Bando,B,72,195,0.227,27,0.369230769,
519,Bill Buckner,L,72,185,0.289,174,0.389189189,
520,Jack Hiatt,R,74,190,0.251,22,0.389473684,
521,Nelson Mathews,R,76,195,0.223,22,0.38974359,
522,Larry Lintz,B,69,150,0.227,0,0.46,
523,Ron Theobald,R,68,165,0.248,2,0.412121212,
524,Dewey Robinson,R,72,180,0,0,0.4,
525,Rafael Santana,R,73,165,0.246,13,0.442424242,
526,Jerry Hairston,B,70,170,0.258,30,0.411764706,
527,Tony Arnold,R,71,170,0,0,0.417647059,
528,Jeff Schattinger,L,77,200,0,0,0.385,
529,Ike Brookens,R,77,170,0,0,0.452941176,
530,Tommie Aaron,R,75,190,0.229,13,0.394736842,
531,Steve Dillard,R,73,180,0.243,13,0.405555556,
532,Win Remmerswaal,R,74,160,0,0,0.4625,
533,Jeff Peterek,R,74,195,0,0,0.379487179,
534,George Scott,R,74,200,0.268,271,0.37,
535,Jeff Shaver,R,75,195,0,0,0.384615385,
536,Ken Walters,R,73,180,0.231,11,0.405555556,
537,Gorman Thomas,R,74,210,0.225,268,0.352380952,
538,Paul Dade,R,73,185,0.27,10,0.394594595,
539,Darrell Porter,L,72,193,0.247,188,0.373056995,
540,Tim Johnson,L,73,170,0.223,0,0.429411765,
541,Fred Stanley,R,70,165,0.216,10,0.424242424,
542,Larry Bowa,B,70,155,0.26,15,0.451612903,
543,Tim Corcoran,L,71,175,0.27,12,0.405714286,
544,Jim Spencer,L,74,195,0.25,146,0.379487179,
545,Pete LaCock,L,74,200,0.257,27,0.37,
546,Carl Morton,R,72,200,0.156,7,0.36,
547,Gary Gray,R,72,187,0.24,24,0.385026738,
548,Matty Alou,L,69,160,0.307,31,0.43125,
549,Pete Filson,B,74,195,0,0,0.379487179,
550,Jim Dwyer,L,70,165,0.26,77,0.424242424,
551,Dalton Jones,L,73,180,0.235,41,0.405555556,
552,Rennie Stennett,R,71,160,0.274,41,0.44375,
553,Jim Gideon,R,75,190,0,0,0.394736842,
554,Jerry May,R,74,190,0.234,15,0.389473684,
555,Rich McKinney,R,71,185,0.225,20,0.383783784,
556,Clint Hurdle,L,75,195,0.259,32,0.384615385,
557,Mike Andrews,R,75,195,0.258,66,0.384615385,
558,Bobby Clark,R,72,190,0.239,19,0.378947368,
559,Jeff Twitty,L,74,185,0,0,0.4,
560,Cliff Johnson,R,76,215,0.258,196,0.353488372,
561,Steve Cummings,B,74,200,0,0,0.37,
562,Donn Clendenon,R,76,209,0.274,159,0.363636364,
563,Charlie James,R,73,195,0.255,29,0.374358974,
564,Bob Horner,R,73,195,0.277,218,0.374358974,
565,Tom Veryzer,R,73,175,0.241,14,0.417142857,
566,Jose Cecena,R,71,180,0,0,0.394444444,
567,George Smith,R,70,170,0.205,9,0.411764706,
568,Jim Essian,R,74,195,0.244,33,0.379487179,
569,Onix Concepcion,R,66,160,0.239,3,0.4125,
570,Boots Day,L,69,160,0.256,8,0.43125,
571,Brian Giles,R,73,165,0.228,10,0.442424242,
572,Garry Maddox,R,75,175,0.285,117,0.428571429,
573,Alex Trevino,R,70,165,0.249,23,0.424242424,
574,Jim Price,R,72,192,0.214,18,0.375,
575,Felix Millan,R,71,172,0.279,22,0.412790698,
576,Steve Garvey,R,70,192,0.294,272,0.364583333,
577,Don Mincher,L,75,205,0.249,200,0.365853659,
578,Greg Erardi,R,73,190,0,0,0.384210526,
579,Jim Farr,R,73,195,0,0,0.374358974,
580,Tony Cloninger,R,72,210,0.192,11,0.342857143,
581,Jim Gosger,L,71,185,0.226,30,0.383783784,
582,Chuck Harrison,R,70,185,0.238,17,0.378378378,
583,Mike Ivie,R,75,205,0.269,81,0.365853659,
584,Frank Dimichele,R,75,205,0,0,0.365853659,
585,Bob Veale,B,78,212,0.114,0,0.367924528,
586,Marvell Wynne,L,71,175,0.247,40,0.405714286,
587,Dusty Baker,R,74,183,0.278,242,0.404371585,
588,Tucker Ashford,R,73,195,0.218,6,0.374358974,
589,Ned Yost,R,73,190,0.212,16,0.384210526,
590,Bob Stinson,B,71,180,0.25,33,0.394444444,
591,Mike Warren,R,73,175,0,0,0.417142857,
592,Gaylord Perry,R,76,205,0.131,6,0.370731707,
593,Dave Marshall,L,73,182,0.246,16,0.401098901,
594,Mickey Hatcher,R,74,200,0.28,38,0.37,
595,Roger Repoz,L,75,190,0.224,82,0.394736842,
596,Bill Fulton,R,75,195,0,0,0.384615385,
597,John Orsino,R,75,215,0.249,40,0.348837209,
598,Larry Anderson,R,75,190,0,0,0.394736842,
599,Johnny Briggs,L,73,190,0.253,139,0.384210526,
600,Craig Mitchell,R,75,180,0,0,0.416666667,
601,Dave Hostetler,R,76,215,0.229,37,0.353488372,
602,Bob Jones,L,74,195,0.221,20,0.379487179,
603,Keith Hernandez,L,72,180,0.296,162,0.4,
604,Alfredo Martinez,R,75,185,0,0,0.405405405,
605,Dean Chance,R,75,200,0.066,0,0.375,
606,Willie Upshaw,L,72,185,0.262,123,0.389189189,
607,Dick Green,R,70,180,0.24,80,0.388888889,
608,Dane Iorg,L,72,180,0.276,14,0.4,
609,Richie Hebner,L,73,195,0.276,203,0.374358974,
610,Fran Healy,R,77,220,0.25,20,0.35,
611,Doc Edwards,R,74,215,0.238,15,0.344186047,
612,Sandy Alomar,B,69,140,0.245,13,0.492857143,
613,Joe Strain,R,70,169,0.25,1,0.414201183,
614,Gene Richards,L,72,175,0.29,26,0.411428571,
615,Buddy Bell,R,73,180,0.279,201,0.405555556,
616,Al Woods,L,75,190,0.271,35,0.394736842,
617,Rudy Law,L,73,165,0.271,18,0.442424242,
618,Joel Davis,L,77,205,0,0,0.375609756,
619,Jody Davis,R,76,192,0.245,127,0.395833333,
620,Mike Edwards,R,70,154,0.25,2,0.454545455,
621,Bill Mooneyham,R,72,175,0,0,0.411428571,
622,John Hobbs,R,75,190,0,0,0.394736842,
623,Deron Johnson,R,74,200,0.244,245,0.37,
624,John Denny,R,75,185,0.17,0,0.405405405,
625,Don Wert,R,70,162,0.242,77,0.432098765,
626,Mike Fiore,L,72,175,0.227,13,0.411428571,
627,Miguel Dilone,B,72,160,0.265,6,0.45,
628,Greg Luzinski,R,73,220,0.276,307,0.331818182,
629,Bobby Tolan,L,71,170,0.265,86,0.417647059,
630,Karl Best,R,76,190,0,0,0.4,
631,Steve Barr,L,76,200,0,0,0.38,
632,Ron Woods,R,70,168,0.233,26,0.416666667,
633,Tony Horton,R,75,210,0.268,76,0.357142857,
634,Randy Hundley,R,71,170,0.236,82,0.417647059,
635,Jose Tartabull,L,71,165,0.261,2,0.43030303,
636,Ben Oglivie,L,74,160,0.273,235,0.4625,
637,Luis Sanchez,R,74,170,0,0,0.435294118,
638,Bob Johnson,R,70,175,0.272,44,0.4,
639,Don Buford,B,67,160,0.264,93,0.41875,
640,Duane Kuiper,L,72,175,0.271,1,0.411428571,
641,Brant Alyea,R,75,215,0.247,38,0.348837209,
642,Jerry Narron,L,75,205,0.211,21,0.365853659,
643,Lou Johnson,R,71,170,0.258,48,0.417647059,
644,Ken Retzer,L,72,185,0.264,14,0.389189189,
645,Mike Brown,R,74,195,0.265,23,0.379487179,
646,Mike Brown,R,74,195,0,0,0.379487179,
647,Greg Walker,L,75,205,0.26,113,0.365853659,
648,Terry Harper,R,76,195,0.253,36,0.38974359,
649,Jerry Royster,R,72,165,0.249,40,0.436363636,
650,Steve Davis,L,73,195,0,0,0.374358974,
651,Jeff Rineer,L,76,205,0,0,0.370731707,
652,Barry Bonnell,R,75,190,0.272,56,0.394736842,
653,Tom Seaver,R,73,195,0.154,12,0.374358974,
654,Jerry Martin,R,73,195,0.251,85,0.374358974,
655,Bill Stein,R,70,170,0.267,44,0.411764706,
656,Joel Youngblood,R,72,180,0.265,80,0.4,
657,Reggie Jackson,L,72,195,0.262,563,0.369230769,
658,Sonny Jackson,L,69,150,0.251,7,0.46,
659,Mark Mercer,L,77,220,0,0,0.35,
660,Rodney Scott,B,72,160,0.236,3,0.45,
661,Rich Coggins,L,68,170,0.265,12,0.4,
662,Phil Gagliano,R,73,180,0.238,14,0.405555556,
663,Jerry McNertney,R,72,180,0.237,27,0.4,
664,Mitchell Page,L,74,205,0.266,72,0.36097561,
665,Kiko Garcia,R,71,180,0.239,12,0.394444444,
666,Larry Milbourne,B,72,161,0.254,11,0.447204969,
667,Bill Sudakis,B,73,190,0.234,59,0.384210526,
668,John Caneira,R,75,180,0,0,0.416666667,
669,Domingo Ramos,R,70,154,0.24,8,0.454545455,
670,Ron Oester,B,74,185,0.265,42,0.4,
671,Glenn Adams,L,73,180,0.28,34,0.405555556,
672,Clint Zavaras,R,73,175,0,0,0.417142857,
673,Joe Morgan,L,67,160,0.271,268,0.41875,
674,R.J. Reynolds,B,72,190,0.267,35,0.378947368,
675,Mike Parrott,R,76,210,0,0,0.361904762,
676,Lee Thomas,L,74,195,0.255,106,0.379487179,
677,Ray Fosse,R,74,215,0.256,61,0.344186047,
678,Paul Popovich,B,72,175,0.233,14,0.411428571,
679,John Stephenson,L,71,180,0.216,12,0.394444444,
680,Doug Clemens,L,72,180,0.229,12,0.4,
681,Luis Aponte,R,72,185,0,0,0.389189189,
682,Orlando Mercado,R,72,180,0.199,7,0.4,
683,Charley Smith,R,73,170,0.239,69,0.429411765,
684,Paul Boris,R,74,200,0,0,0.37,
685,Buddy Biancalana,B,71,160,0.205,6,0.44375,
686,De Wayne Buice,R,72,170,0,0,0.423529412,
687,Bob Uecker,R,73,190,0.2,14,0.384210526,
688,Felix Torres,R,71,165,0.254,27,0.43030303,
689,Steve Braun,L,70,180,0.271,52,0.388888889,
690,Ray Knight,R,73,185,0.271,84,0.394594595,
691,Ty Cline,L,72,170,0.238,6,0.423529412,
692,Thad Bosley,L,75,175,0.272,20,0.428571429,
693,Bobby Grich,R,74,180,0.266,224,0.411111111,
694,Jimmie Hall,L,72,175,0.254,121,0.411428571,
695,John Boccabella,R,73,195,0.219,26,0.374358974,
696,Brock Davis,L,70,160,0.26,1,0.4375,
697,Mark Esser,R,73,190,0,0,0.384210526,
698,Curt Blefary,L,74,195,0.237,112,0.379487179,
699,Daryl Smith,R,76,185,0,0,0.410810811,
700,Dave Smith,R,73,190,0,0,0.384210526,
701,Mack Jones,L,73,180,0.252,133,0.405555556,
702,Buddy Bradford,R,71,170,0.226,52,0.417647059,
703,Hosken Powell,L,73,175,0.259,17,0.417142857,
704,Dave Stapleton,L,73,185,0,0,0.394594595,
705,Dave Stapleton,R,73,178,0.271,41,0.41011236,
706,Gary Ward,R,74,195,0.276,130,0.379487179,
707,Jim Lonborg,R,77,200,0.136,3,0.385,
708,Joe Lis,R,72,175,0.233,32,0.411428571,
709,Dan Meyer,L,71,180,0.253,86,0.394444444,
710,Jim Holt,L,72,180,0.265,19,0.4,
711,Tom Klawitter,R,74,190,0,0,0.389473684,
712,Larry Herndon,R,75,190,0.274,107,0.394736842,
713,Gary Christenson,L,77,200,0,0,0.385,
714,Jim Wright,R,77,205,0,0,0.375609756,
715,Jim Wright,R,73,165,0,0,0.442424242,
716,Wallace Johnson,B,72,173,0.255,5,0.416184971,
717,Mike Kinnunen,L,73,185,0,0,0.394594595,
718,Eddie Leon,R,72,170,0.236,24,0.423529412,
719,Dave Rajsich,L,77,175,0,0,0.44,
720,Jim Wohlford,R,71,175,0.26,21,0.405714286,
721,J.R. Richard,R,80,222,0.168,10,0.36036036,
722,Bill Voss,L,74,160,0.227,19,0.4625,
723,Keith Moreland,R,72,190,0.279,121,0.378947368,
724,Ramon Pena,R,70,155,0,0,0.451612903,
725,Alex Johnson,R,72,205,0.288,78,0.351219512,
726,Wayne Krenchicki,L,73,180,0.266,15,0.405555556,
727,Chico Escarrega,R,71,185,0,0,0.383783784,
728,Dave Rosello,R,71,160,0.236,10,0.44375,
729,Cardell Camper,R,75,208,0,0,0.360576923,
730,Paul Schaal,R,71,165,0.244,57,0.43030303,
731,Tito Landrum,R,71,175,0.249,13,0.405714286,
732,Dave Edwards,R,72,170,0.237,14,0.423529412,
733,Mario Guerrero,R,70,155,0.257,7,0.451612903,
734,Tom Tresh,B,73,180,0.245,153,0.405555556,
735,Mike Overy,R,74,190,0,0,0.389473684,
736,Ron Roenicke,B,72,180,0.238,17,0.4,
737,Doug Griffin,R,72,160,0.245,7,0.45,
738,Steve Blass,R,72,165,0.172,1,0.436363636,
739,Johnnie LeMaster,R,74,165,0.222,22,0.448484848,
740,Craig Chamberlain,R,73,190,0,0,0.384210526,
741,Nate Oliver,R,70,160,0.226,2,0.4375,
742,Ray Sadecki,L,71,180,0.191,5,0.394444444,
743,Ken Rudolph,R,73,180,0.213,6,0.405555556,
744,Wayne Nordhagen,R,74,205,0.282,39,0.36097561,
745,Biff Pocoroba,B,70,175,0.257,21,0.4,
746,Len Matuszek,L,74,190,0.234,30,0.389473684,
747,Frank Eufemia,R,71,185,0,0,0.383783784,
748,Joe Lefebvre,L,70,170,0.258,31,0.411764706,
749,Jim Maloney,L,74,190,0.201,7,0.389473684,
750,Andre Robertson,R,70,155,0.251,5,0.451612903,
751,Jerry Zimmerman,R,74,185,0.204,3,0.4,
752,Jack Lazorko,R,71,200,0,0,0.355,
753,Mike Paxton,R,71,190,0,0,0.373684211,
754,Chet Lemon,R,72,190,0.273,215,0.378947368,
755,Rickey Keeton,R,74,190,0,0,0.389473684,
756,Phil Mankowski,L,72,180,0.264,8,0.4,
757,Cleon Jones,R,72,185,0.281,93,0.389189189,
758,Joaquin Andujar,B,72,170,0.127,5,0.423529412,
759,Mike Lum,L,72,180,0.247,90,0.4,
760,Johnny Grubb,L,75,175,0.278,99,0.428571429,
761,Curt Motton,R,68,164,0.213,25,0.414634146,
762,Johnny Bench,R,73,197,0.267,389,0.370558376,
763,Dale Berra,R,72,180,0.236,49,0.4,
764,Terry Felton,R,73,180,0,0,0.405555556,
765,Bob Meacham,B,73,175,0.236,8,0.417142857,
766,Mark Clear,R,76,200,0,0,0.38,
767,Carl Warwick,R,70,170,0.248,31,0.411764706,
768,Sam Bowens,R,73,188,0.223,45,0.388297872,
769,George Wright,B,71,180,0.245,42,0.394444444,
770,Luis Aguayo,R,69,173,0.236,37,0.398843931,
771,Hal Lanier,R,74,180,0.228,8,0.411111111,
